Time,Symbol,Side,Price,Qty,Route,Broker,Account,Type,Cloid,ECNFee,P / L,
10:32:30,IREN,S,45.585,160,SMRT,BEST,IB,Margin,260629016843.0,0,21.53,
10:32:30,IREN,S,45.585,9,SMRT,BEST,IB,Margin,260629016843.0,0,1.21,
10:31:07,IREN,SS,45.66,69,SMRT,BEST,IB,Short,260629016704.0,0,14.46,
10:31:07,IREN,SS,45.67,19,SMRT,BEST,IB,Short,260629016704.0,0,4.17,
10:31:07,IREN,SS,45.67,81,SMRT,BEST,IB,Short,260629016704.0,0,17.79,
10:30:25,IREN,SS,45.691,37,SMRT,BEST,IB,Short,260629016608.0,0,8.90,
10:28:08,IREN,SS,45.59,41,SMRT,BEST,IB,Short,260629016314.0,0,5.72,
10:27:47,IREN,S,45.485,46,SMRT,BEST,IB,Margin,260629016274.0,0,1.59,
10:27:47,IREN,S,45.485,31,SMRT,BEST,IB,Margin,260629016273.0,0,1.07,
10:27:47,IREN,S,45.485,20,SMRT,BEST,IB,Margin,260629016273.0,0,0.69,
10:27:42,IREN,B,45.57,46,SMRT,BEST,IB,Margin,260629016261.0,0,0.00,
10:27:42,IREN,B,45.57,42,SMRT,BEST,IB,Margin,260629016260.0,0,0.00,
10:25:58,IREN,B,45.4256,282,SMRT,BEST,IB,Margin,260629016057.0,0,0.00,
10:25:58,IREN,B,45.4256,118,SMRT,BEST,IB,Margin,260629016057.0,0,0.00,
10:25:58,IREN,B,45.4265,25,SMRT,BEST,IB,Margin,260629016057.0,0,0.00,
10:24:45,TQQQ,B,72.319,300,SMRT,BEST,IB,Margin,260629015883.0,0,-5.10,
10:24:45,TQQQ,B,72.32,139,SMRT,BEST,IB,Margin,260629015883.0,0,-2.50,
10:24:19,TQQQ,B,72.1275,48,SMRT,BEST,IB,Margin,260629015837.0,0,8.38,
10:23:33,TQQQ,SS,72.302,487,SMRT,BEST,IB,Short,260629015776.0,0,0.00,
10:16:13,CAPR,B,23.8275,177,SMRT,BEST,IB,Margin,260629014628.0,0,-3.10,
10:16:13,CAPR,B,23.8275,203,SMRT,BEST,IB,Margin,260629014628.0,0,-3.55,
10:16:13,CAPR,B,23.83,81,SMRT,BEST,IB,Margin,260629014628.0,0,-1.62,
10:15:54,CAPR,B,23.7295,51,SMRT,BEST,IB,Margin,260629014545.0,0,4.11,
10:15:27,CAPR,SS,23.81,512,SMRT,NASD,IB,Short,260629014459.0,0,0.00,
10:05:03,TSLA,S,391.36,38,SMRT,BEST,IB,Margin,260629012779.0,0,-74.10,
10:04:04,TSLA,B,393.31,38,SMRT,BEST,IB,Margin,260629012660.0,0,0.00,
09:56:01,MU,B,1074.77,21,SMRT,BEST,IB,Margin,260629011276.0,0,98.28,
09:54:49,MU,SS,1079.45,21,SMRT,NASD,IB,Short,260629010980.0,0,0.00,
09:52:49,TSLA,SS,393.045,9,SMRT,BEST,IB,Short,260629010632.1,0,-0.73,
09:52:48,TSLA,S,392.93,84,SMRT,BEST,IB,Margin,260629010633.0,0,-16.45,
09:49:10,TSLA,B,392.6263,19,SMRT,BEST,IB,Margin,260629009903.0,0,0.00,
09:49:10,TSLA,B,392.63,20,SMRT,BEST,IB,Margin,260629009903.0,0,0.00,
09:47:51,TSLA,B,393.4837,40,SMRT,BEST,IB,Margin,260629009700.0,0,0.00,
09:47:51,TSLA,B,393.49,14,SMRT,BEST,IB,Margin,260629009700.0,0,0.00,
09:44:51,PLTR,B,117.62,18,SMRT,BEST,IB,Margin,260629009081.0,0,-0.84,
09:44:51,PLTR,B,117.6,20,SMRT,BEST,IB,Margin,260629009081.0,0,-0.54,
09:44:48,PLTR,SS,117.56,13,SMRT,BEST,IB,Short,260629009067.0,0,0.00,
09:44:48,PLTR,SS,117.58,6,SMRT,BEST,IB,Short,260629009067.0,0,0.00,
09:44:48,PLTR,SS,117.58,9,SMRT,BEST,IB,Short,260629009066.0,0,0.00,
09:44:48,PLTR,SS,117.58,10,SMRT,BEST,IB,Short,260629009066.0,0,0.00,
09:44:48,PLTR,S,117.555,38,SMRT,BEST,IB,Margin,260629009064.0,0,-12.35,
09:44:48,PLTR,S,117.56,18,SMRT,BEST,IB,Margin,260629009063.0,0,-5.76,
09:44:48,PLTR,S,117.56,19,SMRT,BEST,IB,Margin,260629009063.0,0,-6.08,
09:42:10,TSLA,S,387.48,81,SMRT,BEST,IB,Margin,260629008394.0,0,-51.03,
09:42:10,TSLA,SS,387.44,8,SMRT,BEST,IB,Short,260629008393.0,0,-5.36,
09:41:55,PLTR,SS,118.07,73,SMRT,NASD,IB,Short,260629008351.0,0,13.87,
09:41:55,PLTR,SS,118.07,2,SMRT,NASD,IB,Short,260629008351.0,0,0.38,
09:41:17,PLTR,S,118.0515,16,SMRT,BEST,IB,Margin,260629008231.0,0,2.74,
09:41:01,TSLA,SS,389.28,9,SMRT,BEST,IB,Short,260629008162.0,0,10.53,
09:40:46,PLTR,B,117.88,90,SMRT,BEST,IB,Margin,260629008080.0,0,0.00,
09:40:46,PLTR,B,117.88,76,SMRT,BEST,IB,Margin,260629008080.0,0,0.00,
09:40:27,TSLA,B,388.11,98,SMRT,NASD,IB,Margin,260629007970.0,0,0.00,
09:39:34,NVDA,B,194.145,100,SMRT,BEST,IB,Margin,260629007767.0,0,-7.01,
09:39:34,NVDA,B,194.145,56,SMRT,BEST,IB,Margin,260629007767.0,0,-3.92,
09:39:34,TSLA,S,387.34,87,SMRT,BEST,IB,Margin,260629007766.0,0,212.28,
09:39:28,NVDA,SS,194.07,100,SMRT,BEST,IB,Short,260629007748.0,0,0.00,
