Time,Symbol,Side,Price,Qty,Route,Broker,Account,Type,Cloid,ECNFee,P / L,
11:19:09,TSLA,B,392.105,4,SMRT,BEST,IB,Margin,260708016559.0,0,1.90,
11:19:09,TSLA,B,392.105,5,SMRT,BEST,IB,Margin,260708016559.0,0,2.38,
11:16:31,TSLA,B,391.18,2,SMRT,BEST,IB,Margin,260708016372.0,0,2.80,
11:14:37,TSLA,B,391.1695,11,SMRT,BEST,IB,Margin,260708016233.0,0,15.52,
11:07:04,TSLA,B,391.745,11,SMRT,BEST,IB,Margin,260708015778.0,0,9.19,
11:07:04,TSLA,B,391.745,11,SMRT,BEST,IB,Margin,260708015778.0,0,9.19,
11:05:04,TSLA,B,391.59,44,SMRT,BEST,IB,Margin,260708015634.0,0,43.58,
11:03:26,TSLA,B,392,2,SMRT,NASD,IB,Margin,260708015530.0,0,1.16,
11:03:26,TSLA,B,392,10,SMRT,NASD,IB,Margin,260708015530.0,0,5.81,
11:03:26,TSLA,B,392.01,10,SMRT,BEST,IB,Margin,260708015530.0,0,5.71,
11:03:04,TSLA,B,391.985,13,SMRT,BEST,IB,Margin,260708015505.0,0,7.74,
11:03:04,TSLA,B,391.985,14,SMRT,BEST,IB,Margin,260708015505.0,0,8.34,
10:58:48,TSLA,SS,392.5803,100,SMRT,BEST,IB,Short,260708015279.0,0,0.00,
10:58:48,TSLA,SS,392.58,29,SMRT,BEST,IB,Short,260708015279.0,0,0.00,
10:58:48,TSLA,SS,392.585,8,SMRT,BEST,IB,Short,260708015279.0,0,0.00,
10:57:14,SPCX,B,149.785,84,SMRT,BEST,IB,Margin,260708015168.0,0,13.33,
10:55:42,SPCX,B,149.94,47,SMRT,BEST,IB,Margin,260708015007.0,0,0.17,
10:55:42,SPCX,B,149.91,36,SMRT,BEST,IB,Margin,260708015007.0,0,1.21,
10:55:34,SPCX,B,149.905,41,SMRT,BEST,IB,Margin,260708014991.0,0,1.59,
10:55:17,SPCX,B,149.95,9,SMRT,BEST,IB,Margin,260708014975.0,0,-0.06,
10:55:17,SPCX,B,149.91,100,SMRT,BEST,IB,Margin,260708014975.0,0,3.37,
10:55:17,SPCX,B,149.91,98,SMRT,BEST,IB,Margin,260708014975.0,0,3.30,
10:52:32,NBIS,B,205.98,10,SMRT,BEST,IB,Margin,260708014722.0,0,24.10,
10:52:32,NBIS,B,205.98,11,SMRT,BEST,IB,Margin,260708014722.0,0,26.51,
10:49:45,NBIS,B,203.73,15,SMRT,BEST,IB,Margin,260708014460.0,0,69.90,
10:49:45,NBIS,B,203.73,5,SMRT,BEST,IB,Margin,260708014460.0,0,23.30,
10:49:13,SPCX,SS,150.11,36,SMRT,BEST,IB,Short,260708014419.0,0,0.00,
10:49:13,SPCX,SS,150.13,100,SMRT,BEST,IB,Short,260708014419.0,0,-0.00,
10:49:13,SPCX,SS,150.12,99,SMRT,BEST,IB,Short,260708014419.0,0,0.00,
10:46:34,SPCX,SS,149.71,180,SMRT,NASD,IB,Short,260708014180.0,0,0.00,
10:42:04,NBIS,SS,208.39,41,SMRT,BEST,IB,Short,260708013834.0,0,0.00,
10:37:37,NBIS,B,211.72,51,SMRT,BEST,IB,Margin,260708013581.0,0,-27.24,
10:37:26,NBIS,B,210.75,51,SMRT,BEST,IB,Margin,260708013555.0,0,22.23,
10:35:57,NBIS,SS,211.18,42,SMRT,BEST,IB,Short,260708013417.0,0,0.00,
10:35:57,NBIS,SS,211.19,60,SMRT,BEST,IB,Short,260708013417.0,0,0.00,
10:34:40,SCO,S,30.935,1333,SMRT,BEST,IB,Margin,260708013313.0,0,-133.30,
10:34:28,SCO,B,31.035,1333,SMRT,BEST,IB,Margin,260708013297.0,0,0.00,
10:17:15,TSLA,B,394.0293,44,SMRT,BEST,IB,Margin,260708011579.0,0,-12.64,
10:17:15,TSLA,B,394.03,100,SMRT,BEST,IB,Margin,260708011579.0,0,-28.79,
10:17:15,TSLA,B,394.04,39,SMRT,BEST,IB,Margin,260708011579.0,0,-11.62,
10:16:03,TSLA,B,393.53,7,SMRT,BEST,IB,Margin,260708011460.0,0,1.48,
10:16:03,TSLA,B,393.53,75,SMRT,BEST,IB,Margin,260708011460.0,0,15.90,
10:16:03,TSLA,B,393.53,100,SMRT,BEST,IB,Margin,260708011460.0,0,21.21,
10:15:33,TSLA,SS,393.77,174,SMRT,BEST,IB,Short,260708011377.0,0,0.00,
10:15:33,TSLA,SS,393.78,18,SMRT,BEST,IB,Short,260708011377.0,0,0.00,
10:15:32,TSLA,SS,393.71,173,SMRT,BEST,IB,Short,260708011372.0,0,0.00,
10:15:31,TSLA,S,393.56,15,SMRT,BEST,IB,Margin,260708011368.0,0,-22.66,
10:15:31,TSLA,S,393.56,115,SMRT,ARCA,IB,Margin,260708011368.0,0,-173.71,
10:15:31,TSLA,S,393.57,1,SMRT,ARCA,IB,Margin,260708011368.0,0,-1.50,
10:15:31,TSLA,S,393.58,4,SMRT,ARCA,IB,Margin,260708011368.0,0,-5.96,
10:15:31,TSLA,S,393.5757,20,SMRT,BEST,IB,Margin,260708011368.0,0,-29.90,
10:13:22,TSLA,S,394.94,100,SMRT,BEST,IB,Margin,260708011148.0,0,-13.05,
10:13:22,TSLA,S,394.94,54,SMRT,BEST,IB,Margin,260708011148.0,0,-7.05,
