Time,Symbol,Side,Price,Qty,Route,Broker,Account,Type,Cloid,ECNFee,P / L,
13:20:42,MSTR,B,103.92,63,SMRT,BEST,IB,Margin,260706024687.0,0,7.58,
13:20:29,MSTR,B,103.87,61,SMRT,BEST,IB,Margin,260706024684.0,0,10.38,
13:20:29,MSTR,B,103.865,1,SMRT,BEST,IB,Margin,260706024684.0,0,0.18,
13:20:18,MSTR,B,103.91,33,SMRT,BEST,IB,Margin,260706024680.0,0,4.30,
13:20:18,MSTR,B,103.9,92,SMRT,NASD,IB,Margin,260706024680.0,0,12.90,
13:20:09,MSTR,SS,104.0403,200,SMRT,BEST,IB,Short,260706024676.0,0,0.00,
13:20:09,MSTR,SS,104.04,50,SMRT,BEST,IB,Short,260706024676.0,0,0.00,
09:34:10,AMD,B,541.99,46,SMRT,BEST,IB,Margin,260706006385.0,0,0.00,
09:47:04,INTC,S,125.02,150,SMRT,BEST,IB,Margin,260706009296.0,0,-127.86,
09:47:04,INTC,S,125.03,50,SMRT,BEST,IB,Margin,260706009296.0,0,-42.12,
09:47:04,INTC,S,125.03,69,SMRT,BEST,IB,Margin,260706009296.0,0,-58.12,
09:39:02,INTC,B,125.085,194,SMRT,BEST,IB,Margin,260706007535.0,0,0.00,
09:58:26,AMD,S,559.215,8,SMRT,BEST,IB,Margin,260706011308.0,0,9.60,
09:58:26,AMD,S,559.215,8,SMRT,BEST,IB,Margin,260706011308.0,0,9.60,
09:40:55,AMD,S,547.45,18,SMRT,BEST,IB,Margin,260706008042.0,0,44.96,
09:36:03,AMD,S,543.9,34,SMRT,BEST,IB,Margin,260706006917.0,0,5.95,
10:12:17,INTC,B,126.765,130,SMRT,BEST,IB,Margin,260706013124.0,0,0.00,
09:31:08,NVDA,B,194.75,69,SMRT,BEST,IB,Margin,260706005562.0,0,-48.99,
09:31:08,NVDA,B,194.75,131,SMRT,BEST,IB,Margin,260706005562.0,0,-93.01,
09:31:08,NVDA,B,194.74,89,SMRT,BEST,IB,Margin,260706005562.0,0,-62.30,
09:53:02,AMD,B,558.015,8,SMRT,BEST,IB,Margin,260706010556.0,0,0.00,
09:53:02,AMD,B,558.015,8,SMRT,BEST,IB,Margin,260706010556.0,0,0.00,
09:35:44,AMD,S,544.35,17,SMRT,BEST,IB,Margin,260706006841.0,0,10.63,
09:49:24,INTC,B,125.5,200,SMRT,BEST,IB,Margin,260706009785.0,0,0.00,
09:49:24,INTC,B,125.5,46,SMRT,BEST,IB,Margin,260706009785.0,0,0.00,
09:30:41,NVDA,SS,194.04,289,SMRT,BEST,IB,Short,260706005474.0,0,0.00,
09:48:49,TSLA,B,400.09,56,SMRT,BEST,IB,Margin,260706009676.0,0,0.00,
10:20:59,INTC,SS,126.6331,21,SMRT,BEST,IB,Short,260706014116.0,0,-2.77,
09:35:08,AMD,B,545.72,40,SMRT,ARCA,IB,Margin,260706006661.0,0,0.00,
10:20:59,INTC,SS,126.6324,21,SMRT,BEST,IB,Short,260706014116.0,0,-2.78,
09:40:02,INTC,S,125.855,80,SMRT,BEST,IB,Margin,260706007807.0,0,61.60,
09:40:02,INTC,S,125.8405,17,SMRT,BEST,IB,Margin,260706007807.0,0,12.84,
09:40:02,INTC,S,125.855,41,SMRT,BEST,IB,Margin,260706007806.0,0,31.57,
09:40:02,INTC,S,125.855,56,SMRT,BEST,IB,Margin,260706007806.0,0,43.12,
09:42:33,INTC,B,125.68,100,SMRT,BEST,IB,Margin,260706008374.0,0,0.00,
09:42:33,INTC,B,125.685,55,SMRT,BEST,IB,Margin,260706008374.0,0,0.00,
10:16:11,INTC,S,127.18,20,SMRT,BEST,IB,Margin,260706013529.0,0,8.30,
09:39:52,AMD,S,546.15,7,SMRT,NASD,IB,Margin,260706007732.0,0,8.38,
09:39:52,AMD,S,546.28,10,SMRT,BEST,IB,Margin,260706007732.0,0,13.28,
10:15:33,INTC,S,126.89,26,SMRT,BEST,IB,Margin,260706013445.0,0,3.25,
10:19:51,INTC,S,126.8505,42,SMRT,BEST,IB,Margin,260706013986.0,0,3.59,
09:39:37,AMD,S,546.61,35,SMRT,BEST,IB,Margin,260706007682.0,0,58.01,
09:39:33,AMD,B,546.18,28,SMRT,BEST,IB,Margin,260706007651.0,0,0.00,
09:59:29,TSLA,S,401.745,23,SMRT,BEST,IB,Margin,260706011507.0,0,38.07,
09:39:32,AMD,B,546.18,7,SMRT,BEST,IB,Margin,260706007648.0,0,0.00,
09:51:20,INTC,S,126.21,123,SMRT,BEST,IB,Margin,260706010194.0,0,87.33,
09:51:20,INTC,S,126.2005,123,SMRT,BEST,IB,Margin,260706010192.0,0,86.16,
09:51:09,TSLA,S,402.51,22,SMRT,BEST,IB,Margin,260706010155.0,0,53.24,
09:41:38,INTC,B,126.13,100,SMRT,ARCA,IB,Margin,260706008198.0,0,0.00,
09:41:38,INTC,B,126.1425,14,SMRT,BEST,IB,Margin,260706008198.0,0,0.00,
09:50:56,TSLA,S,402.845,11,SMRT,BEST,IB,Margin,260706010112.0,0,30.31,
