Time,Symbol,Side,Price,Qty,Route,Broker,Account,Type,Cloid,ECNFee,P / L,
11:59:04,TSLA,S,416.36,100,SMRT,BEST,IB,Margin,260630023284.0,0,120.30,
11:59:04,TSLA,S,416.36,60,SMRT,BEST,IB,Margin,260630023284.0,0,72.18,
11:56:32,TSLA,S,416.7932,20,SMRT,BEST,IB,Margin,260630023200.0,0,32.72,
11:56:32,TSLA,S,416.79,20,SMRT,BEST,IB,Margin,260630023200.0,0,32.66,
11:40:04,TSLA,SS,417.29,25,SMRT,BEST,IB,Short,260630022377.0,0,53.32,
11:40:04,TSLA,SS,417.29,25,SMRT,BEST,IB,Short,260630022377.0,0,53.32,
10:30:18,TSLA,B,415.175,100,SMRT,BEST,IB,Margin,260630017369.0,0,0.00,
10:30:18,TSLA,B,415.175,50,SMRT,BEST,IB,Margin,260630017369.0,0,0.00,
10:28:58,TSLA,B,415.13,100,SMRT,BEST,IB,Margin,260630017213.0,0,0.00,
10:28:38,AMZN,S,239.9,100,SMRT,BEST,IB,Margin,260630017191.0,0,28.00,
10:28:38,AMZN,S,239.9,88,SMRT,BEST,IB,Margin,260630017191.0,0,24.64,
10:27:42,TSLA,S,415.4446,167,SMRT,BEST,IB,Margin,260630017087.0,0,-98.33,
10:27:42,TSLA,S,415.4415,13,SMRT,BEST,IB,Margin,260630017087.0,0,-7.70,
10:27:42,TSLA,S,415.4593,100,SMRT,BEST,IB,Margin,260630017087.0,0,-57.41,
10:27:42,TSLA,S,415.45,45,SMRT,BEST,IB,Margin,260630017087.0,0,-26.25,
10:27:42,TSLA,SS,415.4605,36,SMRT,BEST,IB,Short,260630017085.0,0,-20.63,
10:25:08,AMZN,B,239.62,100,SMRT,BEST,IB,Margin,260630016737.0,0,0.00,
10:25:08,AMZN,B,239.62,88,SMRT,BEST,IB,Margin,260630016737.0,0,0.00,
10:13:37,TSLA,B,415.965,44,SMRT,BEST,IB,Margin,260630015151.0,0,0.00,
10:13:37,TSLA,B,415.9878,145,SMRT,BEST,IB,Margin,260630015151.0,0,0.00,
10:13:29,TSLA,B,416.09,80,SMRT,BEST,IB,Margin,260630015126.0,0,0.00,
10:13:29,TSLA,B,416.088,52,SMRT,BEST,IB,Margin,260630015126.0,0,0.00,
10:13:29,TSLA,B,416.09,40,SMRT,BEST,IB,Margin,260630015126.0,0,0.00,
10:13:10,RAM,S,25.415,86,SMRT,BEST,IB,Margin,260630015083.0,0,-5.42,
10:13:10,RAM,S,25.42,100,SMRT,ARCA,IB,Margin,260630015083.0,0,-5.81,
10:13:10,RAM,S,25.415,100,SMRT,BEST,IB,Margin,260630015083.0,0,-6.31,
10:13:09,RAM,S,25.43,285,SMRT,BEST,IB,Margin,260630015081.0,0,-13.70,
10:11:20,RAM,B,25.48,271,SMRT,BATS,IB,Margin,260630014715.0,0,0.00,
10:11:20,RAM,B,25.4763,300,SMRT,BEST,IB,Margin,260630014715.0,0,0.00,
09:59:07,MSTR,B,84.65,23,SMRT,IEX,IB,Margin,260630012456.0,0,-6.70,
09:59:07,MSTR,B,84.6425,100,SMRT,BEST,IB,Margin,260630012456.0,0,-28.39,
09:59:07,MSTR,B,84.65,100,SMRT,IEX,IB,Margin,260630012456.0,0,-29.14,
09:59:07,MSTR,B,84.625,80,SMRT,BEST,IB,Margin,260630012456.0,0,-21.31,
09:55:42,MSTR,B,84.22,3,SMRT,BEST,IB,Margin,260630011899.0,0,0.42,
09:55:42,MSTR,B,84.19,207,SMRT,BEST,IB,Margin,260630011899.0,0,34.90,
09:55:42,MSTR,B,84.19,93,SMRT,BEST,IB,Margin,260630011899.0,0,15.68,
09:53:01,MSTR,SS,84.95,94,SMRT,BEST,IB,Short,260630011360.0,0,0.00,
09:48:06,MSTR,SS,84.25,400,SMRT,BEST,IB,Short,260630010362.0,0,0.00,
09:48:06,MSTR,SS,84.25,112,SMRT,BEST,IB,Short,260630010362.0,0,0.00,
09:45:02,MSTR,B,85.7795,92,SMRT,BEST,IB,Margin,260630009738.0,0,-68.06,
09:45:02,MSTR,B,85.78,164,SMRT,BEST,IB,Margin,260630009738.0,0,-121.40,
09:42:35,MSTR,SS,85.03,156,SMRT,BEST,IB,Short,260630009154.0,0,0.00,
09:42:35,MSTR,SS,85.055,44,SMRT,BEST,IB,Short,260630009154.0,0,0.00,
09:42:35,MSTR,SS,85.055,56,SMRT,BEST,IB,Short,260630009154.0,0,0.00,
09:40:05,AMD,B,556.061,29,SMRT,BEST,IB,Margin,260630008485.0,0,11.15,
09:40:05,AMD,B,555.88,20,SMRT,BEST,IB,Margin,260630008485.0,0,11.31,
09:40:05,AMD,B,555.99,50,SMRT,BEST,IB,Margin,260630008485.0,0,22.77,
09:40:02,AMD,SS,556.48,50,SMRT,BEST,IB,Short,260630008479.0,0,-0.00,
09:40:02,AMD,SS,556.41,49,SMRT,BEST,IB,Short,260630008478.0,0,0.00,
09:40:01,AMD,S,556.6,99,SMRT,BEST,IB,Margin,260630008475.0,0,-83.19,
09:40:01,AMD,S,556.23,98,SMRT,ARCA,IB,Margin,260630008474.0,0,-118.61,
09:39:32,AMD,B,557.42,97,SMRT,BEST,IB,Margin,260630008403.0,0,0.00,
09:39:32,AMD,B,557.46,100,SMRT,BEST,IB,Margin,260630008403.0,0,0.00,
09:38:24,AMD,S,558.36,72,SMRT,BEST,IB,Margin,260630008144.0,0,55.49,
