Time,Symbol,Side,Price,Qty,Route,Broker,Account,Type,Cloid,ECNFee,P / L,
10:07:51,HOOD,S,118.93,33,SMRT,BEST,IB,Margin,260702012483.0,0,22.78,
10:07:08,HOOD,S,118.35,33,SMRT,NASD,IB,Margin,260702012387.0,0,3.64,
10:01:03,HOOD,B,118.2394,33,SMRT,BEST,IB,Margin,260702011398.0,0,0.00,
10:01:03,HOOD,B,118.24,33,SMRT,BEST,IB,Margin,260702011398.0,0,0.00,
09:59:53,HOOD,S,118.23,39,SMRT,BEST,IB,Margin,260702011259.0,0,-3.12,
09:59:23,HOOD,S,118.755,9,SMRT,BEST,IB,Margin,260702011186.0,0,4.01,
09:59:13,HOOD,S,118.5805,11,SMRT,BEST,IB,Margin,260702011164.0,0,2.98,
09:58:33,HOOD,B,118.31,59,SMRT,BEST,IB,Margin,260702011031.0,0,0.00,
09:43:33,HOOD,S,118.085,27,SMRT,BEST,IB,Margin,260702008289.0,0,-9.86,
09:40:52,HOOD,B,118.45,27,SMRT,BEST,IB,Margin,260702007717.0,0,0.00,
09:35:36,HOOD,S,117.86,51,SMRT,BEST,IB,Margin,260702006192.0,0,147.40,
09:35:36,HOOD,S,117.88,9,SMRT,BEST,IB,Margin,260702006192.0,0,26.19,
09:32:27,HOOD,S,116.9,60,SMRT,BEST,IB,Margin,260702005392.0,0,115.81,
09:32:21,HOOD,S,117.24,30,SMRT,BEST,IB,Margin,260702005377.0,0,68.11,
09:32:21,HOOD,S,117.22,37,SMRT,BEST,IB,Margin,260702005376.0,0,83.26,
09:32:12,HOOD,S,116.9905,46,SMRT,BEST,IB,Margin,260702005329.0,0,92.95,
09:32:02,HOOD,S,116.64,58,SMRT,BEST,IB,Margin,260702005263.0,0,96.87,
09:31:59,HOOD,S,116.23,72,SMRT,BEST,IB,Margin,260702005239.0,0,90.73,
09:31:11,HOOD,B,114.9697,200,SMRT,BEST,IB,Margin,260702004977.0,0,0.00,
09:31:11,HOOD,B,114.97,62,SMRT,NASD,IB,Margin,260702004977.0,0,0.00,
09:31:11,HOOD,B,114.97,100,SMRT,NASD,IB,Margin,260702004977.0,0,0.00,
09:31:11,HOOD,B,114.96,1,SMRT,NASD,IB,Margin,260702004977.0,0,0.00,
