Time,Symbol,Side,Price,Qty,Route,Broker,Account,Type,Cloid,ECNFee,P / L,
10:13:44,META,S,591.34,9,SMRT,BEST,IB,Margin,260709011434.0,0,-11.43,
10:12:23,META,B,592.61,9,SMRT,BEST,IB,Margin,260709011247.0,0,0.00,
10:10:54,META,S,591.89,5,SMRT,BEST,IB,Margin,260709011033.0,0,-1.65,
10:10:54,META,S,591.89,5,SMRT,BEST,IB,Margin,260709011033.0,0,-1.65,
10:10:48,META,B,592.22,10,SMRT,BEST,IB,Margin,260709011027.0,0,0.00,
10:10:01,META,S,592.59,10,SMRT,BEST,IB,Margin,260709010867.0,0,4.10,
10:09:57,META,B,592.18,10,SMRT,BEST,IB,Margin,260709010860.0,0,0.00,
10:08:10,META,S,592.28,9,SMRT,BEST,IB,Margin,260709010662.0,0,26.38,
10:08:10,META,S,592.28,4,SMRT,BEST,IB,Margin,260709010662.0,0,11.72,
10:08:10,META,S,592.14,6,SMRT,BEST,IB,Margin,260709010662.0,0,16.75,
10:02:19,META,S,595.8,4,SMRT,BEST,IB,Margin,260709009781.0,0,25.80,
10:00:50,META,S,594.61,22,SMRT,BEST,IB,Margin,260709009557.0,0,115.74,
10:00:26,META,S,594.625,30,SMRT,BEST,IB,Margin,260709009464.0,0,158.28,
10:00:26,META,S,594.66,14,SMRT,BEST,IB,Margin,260709009464.0,0,74.35,
10:00:16,META,S,594.92,88,SMRT,BEST,IB,Margin,260709009434.0,0,490.24,
10:00:12,META,S,594.505,44,SMRT,BEST,IB,Margin,260709009421.0,0,226.86,
09:56:23,META,B,589.56,48,SMRT,BEST,IB,Margin,260709008853.0,0,0.00,
09:56:18,META,B,589.485,20,SMRT,BEST,IB,Margin,260709008845.0,0,0.00,
09:56:18,META,B,589.57,27,SMRT,BEST,IB,Margin,260709008845.0,0,0.00,
09:55:43,META,B,589.115,57,SMRT,BEST,IB,Margin,260709008769.0,0,0.00,
09:55:31,META,B,589.27,69,SMRT,NASD,IB,Margin,260709008747.0,0,0.00,
09:53:34,SPCX,B,149.76,65,SMRT,BEST,IB,Margin,260709008425.0,0,-59.47,
09:53:34,SPCX,B,149.76,162,SMRT,BEST,IB,Margin,260709008425.0,0,-148.23,
09:52:32,SPCX,SS,148.845,200,SMRT,BEST,IB,Short,260709008260.0,0,0.00,
09:52:32,SPCX,SS,148.845,27,SMRT,BEST,IB,Short,260709008260.0,0,0.00,
09:52:10,SPCX,B,149.225,92,SMRT,BEST,IB,Margin,260709008181.0,0,-46.46,
09:52:10,SPCX,B,149.225,108,SMRT,BEST,IB,Margin,260709008181.0,0,-54.54,
09:52:10,SPCX,B,149.225,12,SMRT,BEST,IB,Margin,260709008181.0,0,-6.06,
09:49:58,SPCX,SS,148.7207,11,SMRT,BEST,IB,Short,260709007705.0,0,0.00,
09:49:58,SPCX,SS,148.72,201,SMRT,BEST,IB,Short,260709007705.0,0,0.00,
09:49:39,TSLA,B,394.085,173,SMRT,BEST,IB,Margin,260709007651.0,0,5.38,
09:49:36,TSLA,SS,394.1164,100,SMRT,BEST,IB,Short,260709007642.0,0,0.00,
09:49:36,TSLA,SS,394.1157,73,SMRT,BEST,IB,Short,260709007642.0,0,0.00,
09:45:18,NVDA,B,201.635,99,SMRT,BEST,IB,Margin,260709006764.0,0,10.40,
09:44:53,NVDA,B,201.73,99,SMRT,BEST,IB,Margin,260709006644.0,0,0.99,
09:43:52,NVDA,SS,201.74,198,SMRT,BEST,IB,Short,260709006489.0,0,0.00,
09:42:28,META,S,588.29,4,SMRT,BEST,IB,Margin,260709006226.0,0,10.94,
09:42:02,META,S,588.4,3,SMRT,BEST,IB,Margin,260709006141.0,0,8.54,
09:41:40,AMD,S,546.36,28,SMRT,BEST,IB,Margin,260709006074.0,0,-61.51,
09:41:27,AMD,S,547.565,28,SMRT,BEST,IB,Margin,260709006035.0,0,-27.77,
09:41:05,META,S,586.97,6,SMRT,BEST,IB,Margin,260709005955.0,0,8.49,
09:40:17,META,B,585.555,13,SMRT,BEST,IB,Margin,260709005779.0,0,0.00,
09:38:45,AMD,B,548.5694,19,SMRT,BEST,IB,Margin,260709005458.0,0,0.00,
09:38:45,AMD,B,548.57,19,SMRT,BEST,IB,Margin,260709005458.0,0,0.00,
09:38:29,AMD,B,548.53,18,SMRT,BEST,IB,Margin,260709005389.0,0,0.00,
09:32:52,NVDA,B,203.1095,16,SMRT,BEST,IB,Margin,260709004061.0,0,-4.95,
09:32:26,NVDA,B,202.89,16,SMRT,BEST,IB,Margin,260709003971.0,0,-1.44,
09:32:19,NVDA,B,202.605,8,SMRT,BEST,IB,Margin,260709003941.0,0,1.56,
09:31:56,NVDA,SS,202.8,40,SMRT,BEST,IB,Short,260709003856.0,0,0.00,
09:23:15,TSLA,B,394.84,12,SMRT,BEST,IB,Margin,260709003330.0,0,-1.68,
09:23:07,TSLA,SS,394.7,12,SMRT,BEST,IB,Short,260709003328.0,0,0.00,
